algorithm,array_type,n,time_ns_median,time_ns_min,time_ns_max,char_comparisons,correct
std_quicksort,almost_sorted,1500,258700,254000,265400,229403,1
std_mergesort,almost_sorted,1500,108000,97300,142500,16261,1
string_quicksort_3way,almost_sorted,1500,68700,62000,72600,13950,1
string_mergesort_lcp,almost_sorted,1500,110800,108400,137200,6130,1
msd_radix_sort,almost_sorted,1500,98200,96200,102900,0,1
msd_radix_quick_sort,almost_sorted,1500,33800,30600,48500,6797,1
std_quicksort,almost_sorted,1600,273400,267300,1077600,240174,1
std_mergesort,almost_sorted,1600,166900,145700,186000,17318,1
string_quicksort_3way,almost_sorted,1600,105100,62200,119400,15014,1
string_mergesort_lcp,almost_sorted,1600,131000,126000,167500,6497,1
msd_radix_sort,almost_sorted,1600,130700,112600,150700,0,1
msd_radix_quick_sort,almost_sorted,1600,40300,33800,54600,7259,1
std_quicksort,almost_sorted,1700,306300,295000,340600,257370,1
std_mergesort,almost_sorted,1700,113200,104100,140200,18445,1
string_quicksort_3way,almost_sorted,1700,67800,61700,82100,15946,1
string_mergesort_lcp,almost_sorted,1700,124500,116400,165000,6945,1
msd_radix_sort,almost_sorted,1700,110500,108800,119700,0,1
msd_radix_quick_sort,almost_sorted,1700,38000,32900,59700,7723,1
std_quicksort,almost_sorted,1800,326200,300100,347800,269236,1
std_mergesort,almost_sorted,1800,187500,123200,233200,19704,1
string_quicksort_3way,almost_sorted,1800,76200,73800,91500,16996,1
string_mergesort_lcp,almost_sorted,1800,152800,136700,185300,7527,1
msd_radix_sort,almost_sorted,1800,115300,114700,116800,0,1
msd_radix_quick_sort,almost_sorted,1800,40300,35100,59400,8188,1
std_quicksort,almost_sorted,1900,334500,318900,470900,284576,1
std_mergesort,almost_sorted,1900,127700,120000,142700,21419,1
string_quicksort_3way,almost_sorted,1900,84200,72800,117000,18150,1
string_mergesort_lcp,almost_sorted,1900,185500,147800,244500,8014,1
msd_radix_sort,almost_sorted,1900,133500,123200,154600,0,1
msd_radix_quick_sort,almost_sorted,1900,48000,40100,62600,8635,1
std_quicksort,almost_sorted,2000,366200,356700,379500,303370,1
std_mergesort,almost_sorted,2000,193100,140000,312300,22511,1
string_quicksort_3way,almost_sorted,2000,97400,79500,310100,18972,1
string_mergesort_lcp,almost_sorted,2000,157600,139900,186600,8358,1
msd_radix_sort,almost_sorted,2000,127000,126300,131200,0,1
msd_radix_quick_sort,almost_sorted,2000,50100,40200,64200,9121,1
std_quicksort,almost_sorted,2100,363900,355300,390600,313064,1
std_mergesort,almost_sorted,2100,142300,133000,162700,23910,1
string_quicksort_3way,almost_sorted,2100,89600,82700,101300,20022,1
string_mergesort_lcp,almost_sorted,2100,286300,165400,309700,8897,1
msd_radix_sort,almost_sorted,2100,155900,146700,167100,0,1
msd_radix_quick_sort,almost_sorted,2100,60000,50800,74800,9570,1
std_quicksort,almost_sorted,2200,538300,396700,637400,333460,1
std_mergesort,almost_sorted,2200,159800,140100,186600,25145,1
string_quicksort_3way,almost_sorted,2200,94600,88700,107500,21285,1
string_mergesort_lcp,almost_sorted,2200,213900,178300,224000,9291,1
msd_radix_sort,almost_sorted,2200,171100,141400,213800,0,1
msd_radix_quick_sort,almost_sorted,2200,54500,49900,73600,10043,1
std_quicksort,almost_sorted,2300,536500,460000,716600,356308,1
std_mergesort,almost_sorted,2300,162800,150200,194300,26289,1
string_quicksort_3way,almost_sorted,2300,100500,89100,112300,22872,1
string_mergesort_lcp,almost_sorted,2300,220200,210900,308500,9613,1
msd_radix_sort,almost_sorted,2300,157800,145900,171600,0,1
msd_radix_quick_sort,almost_sorted,2300,59300,48800,76000,10492,1
std_quicksort,almost_sorted,2400,435500,421100,470600,372511,1
std_mergesort,almost_sorted,2400,168300,161600,198800,26926,1
string_quicksort_3way,almost_sorted,2400,116200,97000,128200,23527,1
string_mergesort_lcp,almost_sorted,2400,212100,195200,283800,10132,1
msd_radix_sort,almost_sorted,2400,164200,153700,186900,0,1
msd_radix_quick_sort,almost_sorted,2400,56300,49700,82700,10961,1
std_quicksort,almost_sorted,2500,468200,446800,507400,386177,1
std_mergesort,almost_sorted,2500,181000,164500,234200,28021,1
string_quicksort_3way,almost_sorted,2500,102700,99300,119000,24457,1
string_mergesort_lcp,almost_sorted,2500,204800,193100,270700,10230,1
msd_radix_sort,almost_sorted,2500,162500,158100,203900,0,1
msd_radix_quick_sort,almost_sorted,2500,68700,53700,83600,11463,1
std_quicksort,almost_sorted,2600,514200,484500,578100,394811,1
std_mergesort,almost_sorted,2600,180200,170300,215000,29647,1
string_quicksort_3way,almost_sorted,2600,104100,96900,123500,25482,1
string_mergesort_lcp,almost_sorted,2600,236600,197700,251600,10969,1
msd_radix_sort,almost_sorted,2600,172600,164300,193400,0,1
msd_radix_quick_sort,almost_sorted,2600,88700,66000,119000,11923,1
std_quicksort,almost_sorted,2700,436000,421100,457200,355128,1
std_mergesort,almost_sorted,2700,209600,186600,229000,30988,1
string_quicksort_3way,almost_sorted,2700,117100,107100,183100,27138,1
string_mergesort_lcp,almost_sorted,2700,232600,210900,307600,11425,1
msd_radix_sort,almost_sorted,2700,219000,176500,232400,0,1
msd_radix_quick_sort,almost_sorted,2700,66100,58100,87500,12378,1
std_quicksort,almost_sorted,2800,533500,513500,674600,356509,1
std_mergesort,almost_sorted,2800,219500,192500,258400,31551,1
string_quicksort_3way,almost_sorted,2800,119800,109600,157400,28252,1
string_mergesort_lcp,almost_sorted,2800,238700,212600,278100,11608,1
msd_radix_sort,almost_sorted,2800,183700,179300,193200,0,1
msd_radix_quick_sort,almost_sorted,2800,84700,61700,112200,12834,1
std_quicksort,almost_sorted,2900,452700,447700,464100,369042,1
std_mergesort,almost_sorted,2900,268500,211800,302000,32467,1
string_quicksort_3way,almost_sorted,2900,119100,111700,138300,29418,1
string_mergesort_lcp,almost_sorted,2900,267300,227700,333800,11970,1
msd_radix_sort,almost_sorted,2900,218800,187000,221500,0,1
msd_radix_quick_sort,almost_sorted,2900,80600,71400,163700,13255,1
std_quicksort,almost_sorted,3000,478900,441000,572500,446547,1
std_mergesort,almost_sorted,3000,207600,196800,256500,33631,1
string_quicksort_3way,almost_sorted,3000,135900,123900,152800,31210,1
string_mergesort_lcp,almost_sorted,3000,277800,245200,334200,12497,1
msd_radix_sort,almost_sorted,3000,197700,190800,235500,0,1
msd_radix_quick_sort,almost_sorted,3000,76000,65500,101300,13715,1
std_quicksort,prefix_heavy,100,20900,20200,23800,18619,1
std_mergesort,prefix_heavy,100,7500,7000,16600,3899,1
string_quicksort_3way,prefix_heavy,100,15800,15400,20300,4576,1
string_mergesort_lcp,prefix_heavy,100,7800,7100,12100,2956,1
msd_radix_sort,prefix_heavy,100,334100,328000,381900,0,1
msd_radix_quick_sort,prefix_heavy,100,16200,16100,17900,3951,1
std_quicksort,prefix_heavy,200,46600,44700,49600,43394,1
std_mergesort,prefix_heavy,200,21100,20100,23600,13339,1
string_quicksort_3way,prefix_heavy,200,33200,31300,39300,10971,1
string_mergesort_lcp,prefix_heavy,200,19100,18000,22600,8134,1
msd_radix_sort,prefix_heavy,200,622500,610300,730100,0,1
msd_radix_quick_sort,prefix_heavy,200,34100,32400,37800,9863,1
std_quicksort,prefix_heavy,300,82400,81000,87400,75012,1
std_mergesort,prefix_heavy,300,41200,38200,55500,25703,1
string_quicksort_3way,prefix_heavy,300,52200,44200,54400,16727,1
string_mergesort_lcp,prefix_heavy,300,33800,31200,40900,13724,1
msd_radix_sort,prefix_heavy,300,724400,715600,912100,0,1
msd_radix_quick_sort,prefix_heavy,300,42900,41300,66400,15342,1
std_quicksort,prefix_heavy,400,114900,109400,117800,109373,1
std_mergesort,prefix_heavy,400,58800,57300,73800,40931,1
string_quicksort_3way,prefix_heavy,400,61000,57500,69600,22832,1
string_mergesort_lcp,prefix_heavy,400,50900,46400,61800,19354,1
msd_radix_sort,prefix_heavy,400,842500,788100,849800,0,1
msd_radix_quick_sort,prefix_heavy,400,53800,52000,70600,20646,1
std_quicksort,prefix_heavy,500,150300,147400,153000,147992,1
std_mergesort,prefix_heavy,500,79400,75700,88100,57507,1
string_quicksort_3way,prefix_heavy,500,78900,70100,85500,28425,1
string_mergesort_lcp,prefix_heavy,500,62900,59900,69800,25048,1
msd_radix_sort,prefix_heavy,500,858600,834000,901300,0,1
msd_radix_quick_sort,prefix_heavy,500,62500,58300,72300,25993,1
std_quicksort,prefix_heavy,600,185100,181000,190300,186329,1
std_mergesort,prefix_heavy,600,123700,103200,133400,76209,1
string_quicksort_3way,prefix_heavy,600,93100,87900,101300,34528,1
string_mergesort_lcp,prefix_heavy,600,82500,74300,88800,30767,1
msd_radix_sort,prefix_heavy,600,893300,879600,916100,0,1
msd_radix_quick_sort,prefix_heavy,600,84300,70100,102400,31360,1
std_quicksort,prefix_heavy,700,240700,233700,258100,222160,1
std_mergesort,prefix_heavy,700,126800,123200,191400,96880,1
string_quicksort_3way,prefix_heavy,700,109300,104100,117800,40631,1
string_mergesort_lcp,prefix_heavy,700,97600,91500,111500,36473,1
msd_radix_sort,prefix_heavy,700,969400,950200,1044300,0,1
msd_radix_quick_sort,prefix_heavy,700,93700,87100,147300,36748,1
std_quicksort,prefix_heavy,800,267500,263700,276700,265469,1
std_mergesort,prefix_heavy,800,151700,148700,188300,116891,1
string_quicksort_3way,prefix_heavy,800,121800,118200,135800,46561,1
string_mergesort_lcp,prefix_heavy,800,109200,105700,131000,42282,1
msd_radix_sort,prefix_heavy,800,997400,987800,1044900,0,1
msd_radix_quick_sort,prefix_heavy,800,93800,86800,115100,42097,1
std_quicksort,prefix_heavy,900,312900,300000,323700,309604,1
std_mergesort,prefix_heavy,900,183300,181600,190300,137589,1
string_quicksort_3way,prefix_heavy,900,152600,147300,168400,52478,1
string_mergesort_lcp,prefix_heavy,900,163500,140900,258300,48029,1
msd_radix_sort,prefix_heavy,900,1119500,1110300,1159500,0,1
msd_radix_quick_sort,prefix_heavy,900,103800,100700,131700,47449,1
std_quicksort,prefix_heavy,1000,354800,342600,362400,356587,1
std_mergesort,prefix_heavy,1000,200600,195800,209600,160482,1
string_quicksort_3way,prefix_heavy,1000,157700,149300,168900,57975,1
string_mergesort_lcp,prefix_heavy,1000,150800,141400,153100,53822,1
msd_radix_sort,prefix_heavy,1000,1178700,1158400,1246800,0,1
msd_radix_quick_sort,prefix_heavy,1000,118800,117600,134900,53027,1
std_quicksort,prefix_heavy,1100,379600,377000,391400,394269,1
std_mergesort,prefix_heavy,1100,228500,224100,245700,186446,1
string_quicksort_3way,prefix_heavy,1100,173600,168100,189800,64043,1
string_mergesort_lcp,prefix_heavy,1100,160400,156900,169700,59659,1
msd_radix_sort,prefix_heavy,1100,1231800,1215600,1248300,0,1
msd_radix_quick_sort,prefix_heavy,1100,127900,123000,146700,58263,1
std_quicksort,prefix_heavy,1200,436000,429000,459800,448136,1
std_mergesort,prefix_heavy,1200,273400,259700,288500,209284,1
string_quicksort_3way,prefix_heavy,1200,242500,204800,286100,69568,1
string_mergesort_lcp,prefix_heavy,1200,185900,173000,224400,65425,1
msd_radix_sort,prefix_heavy,1200,1332600,1275500,1395600,0,1
msd_radix_quick_sort,prefix_heavy,1200,154300,133900,290400,63783,1
std_quicksort,prefix_heavy,1300,477300,473600,481900,484835,1
std_mergesort,prefix_heavy,1300,279400,275400,297800,234668,1
string_quicksort_3way,prefix_heavy,1300,221200,205400,334800,77629,1
string_mergesort_lcp,prefix_heavy,1300,235900,213600,264900,71237,1
msd_radix_sort,prefix_heavy,1300,1491600,1325900,1524600,0,1
msd_radix_quick_sort,prefix_heavy,1300,169500,149600,232000,69245,1
std_quicksort,prefix_heavy,1400,514600,501800,543100,531971,1
std_mergesort,prefix_heavy,1400,309900,303200,312700,258779,1
string_quicksort_3way,prefix_heavy,1400,259400,225400,294800,82479,1
string_mergesort_lcp,prefix_heavy,1400,235200,223400,306100,77037,1
msd_radix_sort,prefix_heavy,1400,1376900,1361400,1418600,0,1
msd_radix_quick_sort,prefix_heavy,1400,163800,157700,183500,74454,1
std_quicksort,prefix_heavy,1500,546300,539900,668900,582039,1
std_mergesort,prefix_heavy,1500,334100,333200,369900,285607,1
string_quicksort_3way,prefix_heavy,1500,248700,247900,256000,92266,1
string_mergesort_lcp,prefix_heavy,1500,242100,231400,265000,82930,1
msd_radix_sort,prefix_heavy,1500,1446300,1418500,1464600,0,1
msd_radix_quick_sort,prefix_heavy,1500,179100,170800,196400,79652,1
std_quicksort,prefix_heavy,1600,620600,593500,643800,633625,1
std_mergesort,prefix_heavy,1600,361400,358700,385500,310873,1
string_quicksort_3way,prefix_heavy,1600,289300,268600,296700,93980,1
string_mergesort_lcp,prefix_heavy,1600,260200,251000,402100,88745,1
msd_radix_sort,prefix_heavy,1600,1524600,1485000,1628400,0,1
msd_radix_quick_sort,prefix_heavy,1600,216000,193400,290600,85101,1
std_quicksort,prefix_heavy,1700,659800,631000,731100,675417,1
std_mergesort,prefix_heavy,1700,403600,386700,444700,337191,1
string_quicksort_3way,prefix_heavy,1700,292000,277700,314500,100473,1
string_mergesort_lcp,prefix_heavy,1700,291300,263000,337600,94658,1
msd_radix_sort,prefix_heavy,1700,1571500,1546000,1619800,0,1
msd_radix_quick_sort,prefix_heavy,1700,213300,200400,222000,90610,1
std_quicksort,prefix_heavy,1800,698500,686800,783900,740432,1
std_mergesort,prefix_heavy,1800,428500,415700,447700,363229,1
string_quicksort_3way,prefix_heavy,1800,295900,277400,357900,106404,1
string_mergesort_lcp,prefix_heavy,1800,283300,274500,311800,100462,1
msd_radix_sort,prefix_heavy,1800,1707500,1644700,1753100,0,1
msd_radix_quick_sort,prefix_heavy,1800,239500,203200,262800,95722,1
std_quicksort,prefix_heavy,1900,757000,725100,784000,785546,1
std_mergesort,prefix_heavy,1900,513900,453500,535600,390965,1
string_quicksort_3way,prefix_heavy,1900,306700,303300,321700,112583,1
string_mergesort_lcp,prefix_heavy,1900,333600,301200,340400,106301,1
msd_radix_sort,prefix_heavy,1900,1714600,1692400,1735300,0,1
msd_radix_quick_sort,prefix_heavy,1900,239700,220200,248300,101254,1
std_quicksort,prefix_heavy,2000,774700,765400,841400,831375,1
std_mergesort,prefix_heavy,2000,477200,473100,500600,417783,1
string_quicksort_3way,prefix_heavy,2000,325700,308700,344200,118855,1
string_mergesort_lcp,prefix_heavy,2000,315000,309500,333300,112133,1
msd_radix_sort,prefix_heavy,2000,1814900,1726100,1917900,0,1
msd_radix_quick_sort,prefix_heavy,2000,245600,221200,287200,106443,1
std_quicksort,prefix_heavy,2100,881600,805800,964500,889101,1
std_mergesort,prefix_heavy,2100,538700,516900,677900,449111,1
string_quicksort_3way,prefix_heavy,2100,337000,321400,356500,123998,1
string_mergesort_lcp,prefix_heavy,2100,369600,328700,473200,118116,1
msd_radix_sort,prefix_heavy,2100,1908800,1849100,1992800,0,1
msd_radix_quick_sort,prefix_heavy,2100,353700,295600,370600,111696,1
std_quicksort,prefix_heavy,2200,962200,930500,1106200,930114,1
std_mergesort,prefix_heavy,2200,573300,526400,731100,477286,1
string_quicksort_3way,prefix_heavy,2200,376600,346400,419100,129762,1
string_mergesort_lcp,prefix_heavy,2200,367000,349600,405900,123950,1
msd_radix_sort,prefix_heavy,2200,2585700,2007100,2992600,0,1
msd_radix_quick_sort,prefix_heavy,2200,396300,375300,574900,117281,1
std_quicksort,prefix_heavy,2300,1084700,995700,1273200,988904,1
std_mergesort,prefix_heavy,2300,599200,558100,624000,507427,1
string_quicksort_3way,prefix_heavy,2300,403600,371800,411000,135966,1
string_mergesort_lcp,prefix_heavy,2300,392000,371400,420500,129829,1
msd_radix_sort,prefix_heavy,2300,1940600,1894000,2223200,0,1
msd_radix_quick_sort,prefix_heavy,2300,326800,291300,583600,122656,1
std_quicksort,prefix_heavy,2400,1238300,1184900,1530300,1034943,1
std_mergesort,prefix_heavy,2400,678000,673700,721300,532831,1
string_quicksort_3way,prefix_heavy,2400,451000,393800,540200,142571,1
string_mergesort_lcp,prefix_heavy,2400,443500,385000,576300,135602,1
msd_radix_sort,prefix_heavy,2400,1944500,1826000,1987700,0,1
msd_radix_quick_sort,prefix_heavy,2400,310100,286200,329600,128238,1
std_quicksort,prefix_heavy,2500,1070200,1056800,1248000,1079985,1
std_mergesort,prefix_heavy,2500,674500,643100,718400,562746,1
string_quicksort_3way,prefix_heavy,2500,413100,409300,496000,147871,1
string_mergesort_lcp,prefix_heavy,2500,517500,428600,559500,141601,1
msd_radix_sort,prefix_heavy,2500,2044400,2023900,2125500,0,1
msd_radix_quick_sort,prefix_heavy,2500,354900,324500,369300,133505,1
std_quicksort,prefix_heavy,2600,1142300,1109200,1222000,1140306,1
std_mergesort,prefix_heavy,2600,681200,679800,862400,591235,1
string_quicksort_3way,prefix_heavy,2600,426500,418800,545000,158049,1
string_mergesort_lcp,prefix_heavy,2600,495100,438100,571800,147389,1
msd_radix_sort,prefix_heavy,2600,1995400,1940200,2175200,0,1
msd_radix_quick_sort,prefix_heavy,2600,333100,308500,373200,138709,1
std_quicksort,prefix_heavy,2700,1105000,1082000,1167400,1185695,1
std_mergesort,prefix_heavy,2700,717400,683200,784200,622200,1
string_quicksort_3way,prefix_heavy,2700,455000,414400,473900,162610,1
string_mergesort_lcp,prefix_heavy,2700,483800,455400,529900,153448,1
msd_radix_sort,prefix_heavy,2700,3476500,2056200,4243000,0,1
msd_radix_quick_sort,prefix_heavy,2700,681300,526600,1007100,143958,1
std_quicksort,prefix_heavy,2800,1694400,1273500,2003100,1239756,1
std_mergesort,prefix_heavy,2800,822500,780000,1054200,654442,1
string_quicksort_3way,prefix_heavy,2800,464100,440100,504800,166548,1
string_mergesort_lcp,prefix_heavy,2800,485400,460900,526300,159281,1
msd_radix_sort,prefix_heavy,2800,2139000,2092800,2272800,0,1
msd_radix_quick_sort,prefix_heavy,2800,360900,333200,399000,149513,1
std_quicksort,prefix_heavy,2900,1319200,1231900,1530500,1295182,1
std_mergesort,prefix_heavy,2900,822700,793300,1756100,684141,1
string_quicksort_3way,prefix_heavy,2900,471800,460200,724300,173591,1
string_mergesort_lcp,prefix_heavy,2900,550200,491400,880700,165289,1
msd_radix_sort,prefix_heavy,2900,2321700,2156300,2663300,0,1
msd_radix_quick_sort,prefix_heavy,2900,399200,375200,432200,154841,1
std_quicksort,prefix_heavy,3000,1313000,1251000,1371700,1356679,1
std_mergesort,prefix_heavy,3000,809400,791900,872400,717271,1
string_quicksort_3way,prefix_heavy,3000,506200,491000,536100,179938,1
string_mergesort_lcp,prefix_heavy,3000,521600,486100,574500,171248,1
msd_radix_sort,prefix_heavy,3000,2200500,2120900,2240600,0,1
msd_radix_quick_sort,prefix_heavy,3000,420400,410400,541500,160560,1
