algorithm,array_type,n,time_ns_median,time_ns_min,time_ns_max,char_comparisons,correct
msd_radix_sort,random,1700,114100,106100,117800,0,1
msd_radix_quick_sort,random,1700,60200,52200,79100,7804,1
std_quicksort,random,1800,422600,407200,449500,289334,1
std_mergesort,random,1800,240300,226800,256300,23992,1
string_quicksort_3way,random,1800,139800,134700,157300,19945,1
string_mergesort_lcp,random,1800,258300,249600,296900,17402,1
msd_radix_sort,random,1800,127400,108600,249800,0,1
msd_radix_quick_sort,random,1800,58400,42100,83600,8219,1
std_quicksort,random,1900,469500,439000,482600,304039,1
std_mergesort,random,1900,245600,227600,422000,25579,1
string_quicksort_3way,random,1900,154400,145000,166500,21162,1
string_mergesort_lcp,random,1900,282400,268800,517200,18505,1
msd_radix_sort,random,1900,141100,119800,156700,0,1
msd_radix_quick_sort,random,1900,88600,84800,95600,8603,1
std_quicksort,random,2000,467100,451600,683000,325323,1
std_mergesort,random,2000,266100,255300,306700,27217,1
string_quicksort_3way,random,2000,164900,156900,179400,23223,1
string_mergesort_lcp,random,2000,289500,281900,306300,19602,1
msd_radix_sort,random,2000,154100,144700,189000,0,1
msd_radix_quick_sort,random,2000,90700,74300,114500,9331,1
std_quicksort,random,2100,613700,505000,731800,335946,1
std_mergesort,random,2100,284900,272600,316500,28860,1
string_quicksort_3way,random,2100,256100,198700,275300,26544,1
string_mergesort_lcp,random,2100,459800,402500,490400,20696,1
msd_radix_sort,random,2100,203500,192600,218800,0,1
msd_radix_quick_sort,random,2100,121100,79800,144900,10025,1
std_quicksort,random,2200,512600,501200,835200,356291,1
std_mergesort,random,2200,293600,284000,302500,30563,1
string_quicksort_3way,random,2200,187900,175400,198500,25151,1
string_mergesort_lcp,random,2200,347600,323300,405900,21873,1
msd_radix_sort,random,2200,146000,143400,165900,0,1
msd_radix_quick_sort,random,2200,102300,88500,119500,10711,1
std_quicksort,random,2300,550700,528700,599000,365773,1
std_mergesort,random,2300,316900,305900,369500,32274,1
string_quicksort_3way,random,2300,209700,203100,229900,30399,1
string_mergesort_lcp,random,2300,344000,336500,370000,23000,1
msd_radix_sort,random,2300,172600,167400,207000,0,1
msd_radix_quick_sort,random,2300,198800,127400,238400,11696,1
std_quicksort,random,2400,567900,550900,586700,376736,1
std_mergesort,random,2400,319300,307200,330200,33957,1
string_quicksort_3way,random,2400,258700,210400,312700,28456,1
string_mergesort_lcp,random,2400,365800,354100,489100,24177,1
msd_radix_sort,random,2400,167400,155100,173700,0,1
msd_radix_quick_sort,random,2400,121100,95900,138300,12147,1
std_quicksort,random,2500,583100,569300,621200,400999,1
std_mergesort,random,2500,344400,321600,355000,35670,1
string_quicksort_3way,random,2500,220700,208500,237500,29325,1
string_mergesort_lcp,random,2500,378200,365300,399800,25296,1
msd_radix_sort,random,2500,181900,170400,196700,0,1
msd_radix_quick_sort,random,2500,131400,111800,149800,12778,1
std_quicksort,random,2600,703500,693900,729400,418240,1
std_mergesort,random,2600,350800,342700,430800,37426,1
string_quicksort_3way,random,2600,219200,218000,235100,29989,1
string_mergesort_lcp,random,2600,393900,391900,422900,26480,1
msd_radix_sort,random,2600,176400,172800,191400,0,1
msd_radix_quick_sort,random,2600,125100,103100,137300,13368,1
std_quicksort,random,2700,625600,617300,675500,422820,1
std_mergesort,random,2700,383400,367700,431000,39152,1
string_quicksort_3way,random,2700,256700,255500,353000,34136,1
string_mergesort_lcp,random,2700,497700,409100,561800,27627,1
msd_radix_sort,random,2700,187100,182800,225500,0,1
msd_radix_quick_sort,random,2700,121500,111500,151900,14081,1
std_quicksort,random,2800,682700,651800,927200,444732,1
std_mergesort,random,2800,425000,397100,464400,40927,1
string_quicksort_3way,random,2800,249900,236800,306700,32770,1
string_mergesort_lcp,random,2800,449200,434100,450600,28855,1
msd_radix_sort,random,2800,191400,184100,208200,0,1
msd_radix_quick_sort,random,2800,122100,107300,141600,14724,1
std_quicksort,random,2900,769400,754100,1007000,466734,1
std_mergesort,random,2900,397400,391400,421800,42642,1
string_quicksort_3way,random,2900,359900,262600,432900,36471,1
string_mergesort_lcp,random,2900,453600,441200,622800,29944,1
msd_radix_sort,random,2900,193100,191800,215400,0,1
msd_radix_quick_sort,random,2900,135100,116800,146600,15509,1
std_quicksort,random,3000,737500,698400,752700,474518,1
std_mergesort,random,3000,440600,421600,521500,44518,1
string_quicksort_3way,random,3000,282300,273400,301500,38123,1
string_mergesort_lcp,random,3000,543300,477900,905200,31256,1
msd_radix_sort,random,3000,203500,202000,226100,0,1
msd_radix_quick_sort,random,3000,137100,128900,154300,16356,1
std_quicksort,reverse_sorted,100,13600,13200,15200,14198,1
std_mergesort,reverse_sorted,100,4000,3700,5900,672,1
string_quicksort_3way,reverse_sorted,100,2200,1800,4700,618,1
string_mergesort_lcp,reverse_sorted,100,4600,4400,7800,376,1
msd_radix_sort,reverse_sorted,100,7400,7100,7900,0,1
msd_radix_quick_sort,reverse_sorted,100,2900,2500,5200,416,1
std_quicksort,reverse_sorted,200,27900,27100,29100,29723,1
std_mergesort,reverse_sorted,200,8800,7800,12600,1442,1
string_quicksort_3way,reverse_sorted,200,4300,3600,7400,1334,1
string_mergesort_lcp,reverse_sorted,200,9700,9200,12700,770,1
msd_radix_sort,reverse_sorted,200,12200,11800,14000,0,1
msd_radix_quick_sort,reverse_sorted,200,4500,4200,8700,858,1
std_quicksort,reverse_sorted,300,38500,37600,41500,40429,1
std_mergesort,reverse_sorted,300,13500,13200,16800,2242,1
string_quicksort_3way,reverse_sorted,300,6900,6000,12600,2141,1
string_mergesort_lcp,reverse_sorted,300,15100,14700,20600,1143,1
msd_radix_sort,reverse_sorted,300,18500,18300,19300,0,1
msd_radix_quick_sort,reverse_sorted,300,6400,6000,9100,1291,1
std_quicksort,reverse_sorted,400,58000,56400,59900,60523,1
std_mergesort,reverse_sorted,400,18600,17400,22100,3143,1
string_quicksort_3way,reverse_sorted,400,9400,8400,14700,2981,1
string_mergesort_lcp,reverse_sorted,400,21100,20300,26500,1585,1
msd_radix_sort,reverse_sorted,400,24600,24300,30200,0,1
msd_radix_quick_sort,reverse_sorted,400,8400,7900,15500,1720,1
std_quicksort,reverse_sorted,500,59900,59100,66800,60233,1
std_mergesort,reverse_sorted,500,28800,25300,33000,3816,1
string_quicksort_3way,reverse_sorted,500,20100,11900,24400,3833,1
string_mergesort_lcp,reverse_sorted,500,27600,26700,35800,1911,1
msd_radix_sort,reverse_sorted,500,31900,31300,32600,0,1
msd_radix_quick_sort,reverse_sorted,500,12400,9800,15200,2165,1
std_quicksort,reverse_sorted,600,81300,78800,92300,81240,1
std_mergesort,reverse_sorted,600,30000,28700,45800,4895,1
string_quicksort_3way,reverse_sorted,600,16000,13400,25400,4777,1
string_mergesort_lcp,reverse_sorted,600,33100,31300,43100,2359,1
msd_radix_sort,reverse_sorted,600,37000,36400,38100,0,1
msd_radix_quick_sort,reverse_sorted,600,14200,11700,19900,2624,1
std_quicksort,reverse_sorted,700,104700,98200,158600,101893,1
std_mergesort,reverse_sorted,700,35200,33800,43400,5792,1
string_quicksort_3way,reverse_sorted,700,19900,18500,25500,5683,1
string_mergesort_lcp,reverse_sorted,700,41500,38300,166800,2754,1
msd_radix_sort,reverse_sorted,700,42000,41300,167400,0,1
msd_radix_quick_sort,reverse_sorted,700,14200,12500,22200,3108,1
std_quicksort,reverse_sorted,800,113500,113200,116600,118024,1
std_mergesort,reverse_sorted,800,43600,39800,49700,6767,1
string_quicksort_3way,reverse_sorted,800,22600,19900,35300,6679,1
string_mergesort_lcp,reverse_sorted,800,46400,44400,55400,3228,1
msd_radix_sort,reverse_sorted,800,48100,47700,49600,0,1
msd_radix_quick_sort,reverse_sorted,800,15500,14400,23000,3581,1
std_quicksort,reverse_sorted,900,116000,113800,120500,116767,1
std_mergesort,reverse_sorted,900,48700,46100,116700,7463,1
string_quicksort_3way,reverse_sorted,900,29500,25800,40600,7594,1
string_mergesort_lcp,reverse_sorted,900,53600,50500,63200,3495,1
msd_radix_sort,reverse_sorted,900,53500,53000,56700,0,1
msd_radix_quick_sort,reverse_sorted,900,17900,16500,28000,4014,1
std_quicksort,reverse_sorted,1000,132300,130900,137300,120592,1
std_mergesort,reverse_sorted,1000,52900,50000,69700,8183,1
string_quicksort_3way,reverse_sorted,1000,30600,27300,39700,8640,1
string_mergesort_lcp,reverse_sorted,1000,60700,57900,72000,3845,1
msd_radix_sort,reverse_sorted,1000,62600,61700,63800,0,1
msd_radix_quick_sort,reverse_sorted,1000,26500,23400,35400,4464,1
std_quicksort,reverse_sorted,1100,136800,134900,147900,137537,1
std_mergesort,reverse_sorted,1100,60000,58800,73200,9263,1
string_quicksort_3way,reverse_sorted,1100,33000,29900,46700,9616,1
string_mergesort_lcp,reverse_sorted,1100,72700,66400,79800,4232,1
msd_radix_sort,reverse_sorted,1100,67100,66500,68300,0,1
msd_radix_quick_sort,reverse_sorted,1100,22900,20100,30200,4915,1
std_quicksort,reverse_sorted,1200,165800,162000,189900,162356,1
std_mergesort,reverse_sorted,1200,74700,71400,124600,10428,1
string_quicksort_3way,reverse_sorted,1200,39900,37300,52100,10720,1
string_mergesort_lcp,reverse_sorted,1200,75700,71800,88900,4781,1
msd_radix_sort,reverse_sorted,1200,74300,73100,82700,0,1
msd_radix_quick_sort,reverse_sorted,1200,23600,22100,37400,5357,1
